,userID,genreID,ratings
0,0,0,1
1,0,1,1
2,0,2,1
3,0,3,1
4,0,4,1
5,0,5,31
6,0,6,21
7,0,7,1
8,0,8,1
9,0,9,1
10,0,10,1
11,0,11,1
12,1,0,1
13,1,1,1
14,1,2,1
15,1,3,1
16,1,4,1
17,1,5,31
18,1,6,21
19,1,7,1
20,1,8,1
21,1,9,1
22,1,10,1
23,1,11,1
24,2,0,1
25,2,1,1
26,2,2,1
27,2,3,1
28,2,4,1
29,2,5,31
30,2,6,21
31,2,7,1
32,2,8,1
33,2,9,1
34,2,10,1
35,2,11,1
36,3,0,1
37,3,1,1
38,3,2,1
39,3,3,1
40,3,4,1
41,3,5,31
42,3,6,11
43,3,7,1
44,3,8,11
45,3,9,1
46,3,10,1
47,3,11,1
48,4,0,1
49,4,1,1
50,4,2,1
51,4,3,1
52,4,4,1
53,4,5,11
54,4,6,41
55,4,7,1
56,4,8,1
57,4,9,1
58,4,10,1
59,4,11,1
60,5,0,1
61,5,1,1
62,5,2,1
63,5,3,1
64,5,4,1
65,5,5,41
66,5,6,11
67,5,7,1
68,5,8,1
69,5,9,1
70,5,10,1
71,5,11,1
72,6,0,1
73,6,1,1
74,6,2,1
75,6,3,1
76,6,4,1
77,6,5,41
78,6,6,1
79,6,7,1
80,6,8,1
81,6,9,11
82,6,10,1
83,6,11,1
84,7,0,1
85,7,1,1
86,7,2,11
87,7,3,1
88,7,4,11
89,7,5,21
90,7,6,11
91,7,7,1
92,7,8,1
93,7,9,1
94,7,10,1
95,7,11,1
96,8,0,1
97,8,1,1
98,8,2,1
99,8,3,1
100,8,4,1
101,8,5,41
102,8,6,11
103,8,7,1
104,8,8,1
105,8,9,1
106,8,10,1
107,8,11,1
108,9,0,1
109,9,1,1
110,9,2,1
111,9,3,1
112,9,4,21
113,9,5,21
114,9,6,11
115,9,7,1
116,9,8,1
117,9,9,1
118,9,10,1
119,9,11,1
120,10,0,1
121,10,1,1
122,10,2,1
123,10,3,1
124,10,4,11
125,10,5,11
126,10,6,31
127,10,7,1
128,10,8,1
129,10,9,1
130,10,10,1
131,10,11,1
132,11,0,1
133,11,1,1
134,11,2,1
135,11,3,1
136,11,4,1
137,11,5,1
138,11,6,31
139,11,7,1
140,11,8,1
141,11,9,21
142,11,10,1
143,11,11,1
144,12,0,1
145,12,1,1
146,12,2,1
147,12,3,1
148,12,4,1
149,12,5,51
150,12,6,1
151,12,7,1
152,12,8,1
153,12,9,1
154,12,10,1
155,12,11,1
156,13,0,1
157,13,1,1
158,13,2,1
159,13,3,1
160,13,4,11
161,13,5,21
162,13,6,21
163,13,7,1
164,13,8,1
165,13,9,1
166,13,10,1
167,13,11,1
168,14,0,1
169,14,1,1
170,14,2,1
171,14,3,1
172,14,4,11
173,14,5,21
174,14,6,11
175,14,7,1
176,14,8,1
177,14,9,11
178,14,10,1
179,14,11,1
180,15,0,1
181,15,1,1
182,15,2,1
183,15,3,1
184,15,4,1
185,15,5,21
186,15,6,21
187,15,7,1
188,15,8,1
189,15,9,11
190,15,10,1
191,15,11,1
192,16,0,1
193,16,1,1
194,16,2,1
195,16,3,1
196,16,4,11
197,16,5,21
198,16,6,21
199,16,7,1
200,16,8,1
201,16,9,1
202,16,10,1
203,16,11,1
204,17,0,1
205,17,1,1
206,17,2,11
207,17,3,1
208,17,4,1
209,17,5,21
210,17,6,21
211,17,7,1
212,17,8,1
